year,month,day,hour,location,stateOrProvince,country,continent,title,description,locale,duration,evidenceAndSpecialEffectsFlags,typeOfUfoCraftFlags,latitude,apparentUfoOccupantActivitiesFlags,placesVisitedAndThingsAffectedFlags,elevation,miscellaneousDetailsFlags,relativeAltitude,longitude,locationFlags,ref,refIndex,strangeness,credibility,miscellaneousFlags,aliensMonstersFlags
1947,10,14,NA,"EDWARDS/MUROC AFB,CA",California,USA,North America,CHUCK YEAGER/USAF,1ST SUPERSONIC FLIGHT IN HISTORY!,Military base,20,Historical,No UFO,34.9,NA,NA,702,NA,NA,117.9,"Ground, Airborne, Military, High quality observer(s)",28,429,5,15,News,No occupant
1973,3,23,NA,"BELFAST-ALLENTOWN,PA",Pennsylvania,USA,North America,12 OBS,"7+SCRS IN FORMATIONS
AVOID PASSING PLANES.",Farmlands,10,NA,Saucer,40.58,NA,NA,110,NA,NA,75.5,"Map, Ground, Civilian, High quality observer(s)",28,10,6,9,Wave,No occupant
1983,2,NA,2,"PECEM,CE,BRZ",CEA,Brazil,South America,SCR ZAPS FISHERMAN/RED BEAM/3hrs,"GONE/DAWN
VERY SICK
/MJ#232",Coastlands,180,"Traces, Technical, Injuries",Saucer,-3.43,"Observation, Ray",Human affected,1,NA,NA,39.12,"Map, Ground, Coast, Civilian",123,104,8,8,NA,No occupant
1755,8,15,~21:00,"CHISWICK,LONDON",England,Great Britain and Ireland,Western Europe,ODD SPHERE SHOOTS BRILL.BEAMS,DROPS+HVRS JUST OVR GROUND,Residential,5,NA,"Saucer, Probe",51.48,"Observation, Ray",Apparent Landing,NA,NA,2,0.27,"Map, Ground, Civilian",186,26,7,7,NA,No occupant
1950,3,30,19,"off St.IGNACE,MI",Michigan,USA,North America,3 SEP.OBS,"60cm WHT DISK ovr STRAITS
BLUE SMOKY FILM
VHIGH",Offshore,1,NA,"Saucer, Probe",45.87,NA,NA,176,NA,NA,84.71,"Map, Ground, Civilian, High quality observer(s)",134,452,5,8,"News, Misidentification, Wave",No occupant
1969,1,14,NA,"ELSTHORPE,NZ",NI,New Zealand,Oceania,2 OBS FOTO SATURN-SCR W/HALO,"MNVRS
2 NLTS ORBIT
VANISH
/r84p245",Town & city,1,Photos,Saucer,-39.96,NA,NA,NA,NA,NA,-176.87,"Map, Ground, Coast, Civilian",195,184,6,7,NA,No occupant
1947,7,4,18,"BOISE,ID",Idaho,USA,North America,UPI NEWSMAN+3,"WHT DISK CROSSES SKY >>SE/INSANE SPEED
ABS SLNT
10K'alt",Town & city,1,NA,Saucer,43.61,NA,NA,820,NA,NA,116.2,"Map, Ground, Civilian, High quality observer(s)",187,258,6,8,News,No occupant
1966,4,24,~22:00,"VALPARAISO,CHILE",VAL,Chile,South America,ASTRONOMER,"SCR CIRCLES CITY
OBVIOUS INTELLIGENT CONTROL",Metropolis,7,NA,Saucer,-33.03,NA,NA,163,"Military investigation, Blue Book",NA,71.6,"Map, Ground, Coast, Civilian",56,83,6,6,Scientist,No occupant
1994,3,5,22,"MARTIGUES,FR",Bouches-du-Rhône,France,Western Europe,1 OBS,"FLASHES/WINDOW
SLNT DLT OSCs OUTSIDE
RADIO QUITS
E>>W traj",Residential,2,Electro-Magnetic Effect,Delta,43.41,NA,Building or ANY MANMADE STRUCTURE,NA,NA,NA,-5.06,"Map, Ground, Coast, Civilian",194,324,7,6,News,No occupant
1957,10,25,~23:00,"PETROPOLIS,BRZ",RDJ,Brazil,South America,7+OBS,"2 OIDS CURE GIRL/CANCER/FANTASTIC 30mn OPERATION
/r215p77",Town & city,40,"Traces, Technical",No UFO,-22.52,"Observation, Sampling, Operations",Vehicle affected,854,NA,NA,43.17,"Map, Ground, Civilian, High quality observer(s)",69,148,12,5,NA,"Humanoid, Pseudo-Human"
1973,10,24,19,"GLENDALE,CA",California,USA,North America,2 OBS,"SCR >>OVR GRIFFITH PARK
HORSES SCARED
S.Ana Register 8.11.73",Metropolis,1,NA,Saucer,34.13,NA,Animals affected,155,NA,NA,118.3,"Map, Ground, Civilian",195,253,6,7,News,No occupant
1967,10,24,21,"LAST MOUNTAIN LAKE,SSK+PENSE AREA",Sasketchewan,Canada,North America,SVRL SEP.OBS,"NLTS+OVOIDS
RAIL LINE NEARBY",Farmlands,10,NA,"Saucer, Nightlights",50.47,NA,NA,490,NA,NA,104.84,"Map, Ground, Civilian, High quality observer(s)",109,176,6,8,Wave,No occupant
1993,4,4,21,"MISCOU Isl,NB",New Brunswick,Canada,North America,NLTS LO OVR UNSTABLE ICE 1/2mi OFFSHORE,"SILENT
BANANA-SHAPED OBJ",Offshore,105,NA,"Cigar, Nightlights",47.97,NA,NA,0,NA,NA,64.58,"Map, Ground, Coast, Civilian",60,299,4,7,News,No occupant
1980,8,31,0,"ASHBOURNE><DERBY,ENGL",England,Great Britain and Ireland,Western Europe,40 ODD OBS/15 PLACES,"SCR HUMS
>/ALL DIRs/5hrs
/r210v29#6",Town & city,44,NA,Saucer,52.91,Observation,"Vehicle affected, Building or ANY MANMADE STRUCTURE",110,Sound,NA,1.58,"Map, Ground, Civilian, High quality observer(s)",195,318,7,11,Wave,No occupant
1952,9,16,21,"TINKER AFB,OK",Oklahoma,USA,North America,1 MIL+2 CIV,"SCR GLOWS
DIMS
SHIFTS BACK+FORTH/30min
NFD",Military base,60,NA,Saucer,35.41,Observation,"Vehicle affected, Building or ANY MANMADE STRUCTURE",394,"Military investigation, Blue Book",NA,97.37,"Map, Ground, Military, Civilian, High quality observer(s)",136,535,6,8,NA,No occupant
1975,11,24,19,"CRUZILLE,FR",S&L,France,Western Europe,2 TEENS,"OVOID/20M alt BEAMS RAYS/GND
MAKES 2 PASSES
>>SE
/FSRv127",Residential,3,NA,Saucer,46.5,"Observation, Ray",NA,NA,NA,NA,-4.8,"Map, Ground, Civilian, High quality observer(s)",194,155,7,9,NA,No occupant
-213,NA,NA,NA,"HADRIA,ROMAN EMP",Firenze,Italy,Western Europe,ALTAR' IN SKY,"MAN IN WHITE
12 SUCH BETWEEN 222 AND 90 B.C.",Pasture,15,Historical,"Cigar, Delta",43.98,NA,NA,NA,NA,NA,-11.27,"Map, Ground",2,4,8,4,"Oddity, Wave",Pseudo-Human
1977,2,9,5,"BONDI,NSW,AUSTR",NSW,Australia,Oceania,DOZENS/OBS,"NLT HVRS/HI-ALT/SVRL MIN
THEN SHOOTS >>E
NO PLANE",Town & city,6,NA,Nightlights,-33.89,NA,NA,NA,NA,NA,-151.29,"Map, Ground, Coast, Civilian, High quality observer(s)",200,29,5,11,News,No occupant
1973,10,17,23,"US29/nr ATHENS,GA",Georgia,USA,North America,RDO EMEs,"SCR LANDS
2 OIDS/SLVR SUIT
INSTRUMNTS/BELT
/MJ#246",Farmlands,20,Electro-Magnetic Effect,Saucer,34.12,Observation,Apparent Landing,230,NA,0,83.22,"Map, Ground, Civilian",83,311,9,6,News,Humanoid
1979,7,25,3,"CANOGA PARK,CA",California,USA,North America,25min/MST,"WAITRESS ABD
EXAMINED ALL OVER
OBJECT INSERTED/LEG?",Residential,15,Traces,Saucer,34.21,"Missing time, Abduction, Operations, Conversation","Human affected, Apparent Landing",242,NA,0,118.6,"Map, Ground, Civilian",25,305,11,9,NA,Humanoid
1978,9,12,23,"TORBAY,DEVONs",England,Great Britain and Ireland,Western Europe,AM.ASTRONOMER,"FUZZY PERFECT CUBE/TSCOPE
SPLITS/HALF
LOST/SPACE",Space,2,NA,Delta,50.5,NA,NA,0,NA,NA,3.43,"Map, Ground, Coast, Civilian",232,78,7,6,Oddity,No occupant
1957,7,24,10,"DEVONPORT,NZ",NI,New Zealand,Oceania,BRITE SLVR DISK HVRS nr GRAND HOTEL,"SHARP OUTLINES
/ANGLE VFAST",Metropolis,1,NA,Saucer,-36.83,NA,NA,NA,NA,NA,-174.79,"Map, Ground, Coast, Civilian",141,379,6,6,NA,No occupant
1954,4,23,20,"ATL. SSE/NY,NY",NAT,Atlantic Ocean + islands,Oceania,PULSING SCR PASSES 3 PAA AIRLINERS/22K'alt,/MJ#252+/r173p133,In-flight,20,NA,"Saucer, Fireball",34,NA,NA,0,NA,6700,71,"Map, Sea, Airborne, High quality observer(s)",210,37,8,10,Wave,No occupant
1945,3,26,NA,"IWO JIMA,JPN",RYU,Japan,Asia Pacific,NLTS FOLO FIGHTER,"200+RDR BLIPS >SW/650 kts
CHASE
nothing seen",Offshore,30,Radar,"Nightlights, Probe",26/05/2017,NA,NA,NA,Camouflage,NA,-128,"Map, Coast, Military, High quality observer(s)",96,129,6,8,Oddity,No occupant
1973,11,7,NA,"SW/SIKES,LA",Louisiana,USA,North America,FOGGY EVE,"1/CAR
3'SLVRY FIGs/BRIDGE
SPLIT ARMS
NO UFO SEEN",Road + rails,1,Technical,No UFO,32,NA,Apparent Landing,46,Camouflage,0,92.57,"Map, Ground, Civilian",178,19,8,6,News,"Humanoid, Figure"
1965,9,6,~21:00,"nr ARICA,CHILE",COR,Chile,South America,LAN FLT 904,"SCR FOLOS/14min
AWAY/INCREDIBLE SPD
/R.HALL listing",Desert,14,NA,Saucer,-18.66,Observation,NA,16,NA,NA,70.13,"Map, Ground, Coast, Airborne, Civilian, High quality observer(s)",120,311,6,9,NA,No occupant
1971,9,NA,12,"PAUSESTI-MAGLASI,ROMANIA",VLC,Romania,Eastern Europe,MANY OBS,VLRG DISK HVRS STILL/90min/two days running,Town & city,90,NA,Saucer,45.13,NA,NA,NA,NA,NA,-24.26,"Map, Ground, Civilian, High quality observer(s)",84,275,6,11,Misidentification,No occupant
1990,11,23,22,"VUMBA,ZIMB",MUT,Zimbabwe & Zambia,Southern Africa,BIG SLNT CGR >>N,"FLAME/REAR
BLINKING+STEADY LITES
GND LIT
/r124p140",Residential,6,NA,Cigar,-18.82,"Observation, Ray","Dirt, Plants affected or sampled",NA,NA,NA,-32.67,"Map, Ground, Civilian",244,4,6,7,Misidentification,No occupant
1957,2,14,3,"PASADENA,CA",California,USA,North America,COPS+MANY,"OVOIDS STOP
TURN
SEARCH/BEAMS
LAND/ROOF?",Town & city,30,Technical,Saucer,34.17,"Observation, Ray",Apparent Landing,263,NA,NA,118.14,"Map, Ground, Civilian, High quality observer(s)",141,105,7,8,News,No occupant
1990,3,20,16,"SOLESMES,FR",NRD,France,Western Europe,1 OBS,HUGE MTLC MASS (2 DLTS TOGETHER) DROPS SLOWLY BHND HOUSES,Residential,1,Technical,Delta,50.2,NA,Apparent Landing,NA,NA,NA,-3.5,"Map, Ground, Civilian",194,302,8,6,NA,No occupant
1991,4,21,21,"off KENT,ENGL",CHI,Great Britain and Ireland,Western Europe,10'CGR PASSES ALITALIA AIRLINER,"ATC CONFIRMS
=UFO/BRIT CAA
/r41",In-flight,1,Radar,Cigar,50.84,NA,NA,0,"Military investigation, Other government agencies",NA,-1.33,"Map, Sea, Airborne, Civilian, High quality observer(s)",191,37,6,10,News,No occupant
1976,9,11,1,"LAREDO,SPAIN",SNT,Spain,Western Europe,200/CAMPSITE,"15M SCR HVRS/5min
SHOOTS BEAMS
DROPS/GND
VANISHES",Coastlands,5,NA,Saucer,43.4,"Observation, Ray",Apparent Landing,NA,NA,NA,3.41,"Map, Ground, Coast, Civilian, High quality observer(s)",195,278,7,12,News,No occupant
1977,7,10,21,"S.CRISTOFORO,CESENA,ITL",FO,Italy,Western Europe,2 KIDS,"RED 25cm BALL HVRS/FLD/5M alt
SHOOTS AWAY!",Road + rails,1,NA,Probe,44.14,NA,NA,NA,NA,NA,-12.26,"Map, Ground, Coast, Civilian",39,93,6,6,NA,No occupant
1965,6,29,21,"GREENVILLE,OH",Ohio,USA,North America,WHT DISK/SKY >W/5 min,"SURROUNDING MIST SEEN when OVHD
NFD",Farmlands,5,NA,Saucer,40.1,NA,NA,317,NA,NA,84.63,"Map, Ground, Civilian, High quality observer(s)",210,793,6,8,NA,No occupant
1978,10,26,23,"BADIA TEBALDA,ITL",ARZ,Italy,Western Europe,10M CCL/LITE LANDS/HILLS,"BEAMS 
2nd IDENTICAL OBJ +JOINS",Residential,60,NA,"Saucer, Nightlights",43.7,"Ray, Signal",Apparent Landing,NA,NA,NA,-12.19,"Map, Ground, Civilian",194,210,7,5,Wave,No occupant
1955,8,8,4,"MARENGO,IL",Illinois,USA,North America,2 OBS/BINOCS,"4 BRITE SCRS SPIN/SW SKY
TILT-HVR-ZIP-HVR etc
>>SE",Residential,10,NA,Saucer,42.27,NA,NA,255,"Military investigation, Blue Book",NA,88.6,"Map, Ground, Civilian",139,246,6,7,NA,No occupant
1996,7,10,1,"UNION,MO",Missouri,USA,North America,1 OBS at WINDOW,"TUBE-CYL W/BLUNT ENDS W>E/2min
""no plane""
BACK 13JLY",Residential,2,NA,Cigar,38.43,NA,NA,166,NA,NA,91,"Map, Ground, Civilian",205,4,6,6,NA,No occupant
1957,1,21,10,"ARLINGTON,VA",Virginia,USA,North America,SVRL/ARMY,"LRG SHINY MTL BALL HVRS+VANISHES 2X
SML BRN DISKS MNVR",Military base,5,NA,Probe,38.88,NA,NA,74,Camouflage,NA,77.04,"Map, Ground, Military, High quality observer(s)",141,128,6,8,NA,No occupant
1977,5,9,21,"MORRISTOWN++,NJ",New Jersey,USA,North America,SEP.OBS,"""HARVEST MOON"" HVRS
SUDDENLY >>NE!
faster than a jet",Town & city,1,NA,Saucer,40.78,NA,NA,100,Camouflage,NA,74.48,"Map, Ground, Civilian",24,931,6,7,NA,No occupant
1954,10,24,14,"SE/RANTON,STAFFs",England,Great Britain and Ireland,Western Europe,3+OBS,HUGE WINGLESS ALUM.FUSELAGE CURVES into CLOUDS >N,Farmlands,2,NA,Cigar,52.78,NA,NA,86,NA,NA,2.21,"Map, Ground, Civilian, High quality observer(s)",90,71,6,8,NA,No occupant
1967,3,9,0,"W/SURREY,ND",North Dakota,USA,North America,BRILL.ORB >W >NW+CURVES >S nr AFB+MINOT,">E
UP+DN XFAST
30mm/BDB",Town & city,40,NA,Saucer,48.24,Observation,Nuclear,500,NA,NA,101.21,"Map, Ground, Civilian",72,28,6,6,NA,No occupant
1954,9,22,11,"3M E/MARSHFIELD,MO",Missouri,USA,North America,BBK#3226,"4 OBS+
ODD SHAPE UFO/LO ALT/15mn
DUMP CATCHES FIRE",Farmlands,15,"Traces, Technical","Delta, Probe",37.33,NA,"Dirt, Apparent Landing",472,"Military investigation, Blue Book",NA,92.86,"Map, Ground, Civilian, High quality observer(s)",55,178,6,8,NA,No occupant
1979,3,27,20,"S/OAK BLUFFS,MARTHAS VINYd,MA",Massachusetts,USA,North America,RFI,"30'CYL RISES/SURF
OBS FROZEN
WATCH FIXED!",Islands,20,Technical,"Cigar, Submersible",41.43,Missing time,"Human affected, Apparent Landing",0,NA,0,70.56,"Map, Ground, Coast, Civilian",160,140,10,6,Oddity,No occupant
1973,5,12,NA,"LOURENCO MARQUES,MOZAMBQ",MPT,Mozambique,Southern Africa,MANY OBS,"BLU-GRN HEMISPHERE/30M alt
2 BEAMS SEARCH ",Town & city,2,NA,Saucer,-25.96,NA,NA,NA,NA,NA,-32.59,"Map, Ground, Coast, Civilian, High quality observer(s)",195,234,6,11,News,NA
1954,1,9,NA,"WARRENTON,VA",Virginia,USA,North America,ORG NLT 10m ovr TREETOPS,"SEEMS to SEARCH/SCAN AREA
""UNDULATES""",Town & city,2,NA,"Nightlights, Probe",38.71,NA,NA,195,NA,30,77.8,"Map, Ground, Military",107,136,5,5,NA,No occupant
1996,3,22,23,"HOUSTON,TX",Texas,USA,North America,ELECTR.ENG,"20 SLNT OBJS W>>E OVHD/VFORMn
VFAST
TYPE UNK
/excell.rpt",Metropolis,1,NA,"Delta, Nightlights",29.77,NA,NA,12,NA,9999,95.33,"Map, Ground, Civilian, High quality observer(s)",220,122,5,7,NA,No occupant
1975,2,~20,21,"LOUHANS,FR",S&L,France,Western Europe,LITE GRN 1.4M 'PROPANE BOTTLE'/LO ALT > TO ROW/TREES,VANISHES!,Residential,1,NA,"Cigar, Probe",46.61,NA,NA,NA,NA,NA,-5.23,"Map, Ground, Civilian",194,181,6,6,NA,No occupant
1965,8,20,17,"HAVERHILL,MASS",Massachusetts,USA,North America,FORMER NAVY AIRCRAFT SPOTTER on HILLTOP SEES SCR HVR OVR CITY,NA,Town & city,1,NA,Saucer,42.77,Observation,Building or ANY MANMADE STRUCTURE,8,NA,NA,71.07,"Map, Ground, Military, Civilian, High quality observer(s)",83,68,6,8,NA,No occupant
2002,1,31,NA,"JACUMBA,CA",California,USA,North America,BORDER PATROL,"DOG REACTS/WARBLE
12 DISKS >E
DLT/MIDST
>W AGAIN",Road + rails,5,NA,"Saucer, Delta",32.64,NA,Animals affected,500,Sound,20,116.19,"Map, Ground, Civilian, High quality observer(s)",170,207,7,6,NA,No occupant
1996,10,18,NA,"KINGAROY,AUST",QLD,Australia,Oceania,MANY OBS,"BATTLESHIP-SIZED PYRAMID HVRS/6km alt
SHOOTS AWAY FAST",Town & city,10,NA,Delta,-26.6,NA,NA,NA,NA,NA,-151.83,"Map, Ground, Civilian, High quality observer(s)",96,160,7,10,NA,No occupant
1974,3,18,0,"N/ALMENDRALEJO,SP",Badajoz,Spain,Western Europe,1M NLT GLIDES UP ROAD TWRD ADVANCING CAR,TURNS >>W+GONE.,Road + rails,5,NA,Nightlights,38.74,NA,Apparent Landing,NA,NA,NA,06/04/2017,"Map, Ground, Civilian",50,44,5,8,NA,No occupant
1974,8,28,22,"PONT-en-ROYANS,26,FR",Drôme,France,Western Europe,SVRL OBS ORANGE BALLS >N OVER TOWN,SAME 11AUG74,Town & city,2,NA,"Saucer, Fireball",45.07,NA,NA,NA,NA,NA,-5.36,"Map, Ground, Civilian",30,514,6,9,NA,No occupant
1979,5,5,15,"LOS MOLINOS DAM,ARG",CRD,Argentina,South America,GOOD FOTOS/SLNT MTLC HAT-SCR,"3 PORTS
SHOOTS
/LDLN#187",Mountains,1,Photos,Saucer,-32.19,NA,NA,500,NA,NA,64.43,"Map, Ground, Civilian",160,141,6,6,News,No occupant
1974,2,24,22,"MONTREAL d'AUDE,FR",Aude,France,Western Europe,SVRL OBS,"2 35cm ORBS WITH ANTENNAS MNVR/FARMS
/r30p452",Farmlands,180,Technical,Probe,43.2,Observation,NA,NA,NA,NA,-2.16,"Map, Ground, Civilian, High quality observer(s)",194,135,7,10,News,No occupant
1958,2,17,20,"ALCALDE,NM",New Mexico,USA,North America,2/CAR+SVRL PILOTS,"SLNT DOMED OVOID+BEAMS
WATCH STOPS
2 HRS MST",Mountains,120,NA,"Saucer, Fireball",36.1,"Observation, Ray, Missing time",NA,1739,NA,NA,106.06,"Map, Ground, Civilian, High quality observer(s)",142,163,7,9,NA,NA
1966,1,21,23,"nr HORNINGSHAM,WILTs",England,Great Britain and Ireland,Western Europe,3 FIGs/SPACE-SUITS JUMP INTO HEDGEROW,SCR RISES/LAKE+AWAY,Wetlands,2,Traces,Saucer,51.17,NA,Apparent Landing,155,NA,0,2.27,"Map, Ground, Civilian",227,156,8,6,NA,"Humanoid, Figure"
1950,3,25,NA,"N.HOLLYWOOD,CA",California,USA,North America,WRITER,"BRILL. UNDIMMING OVOID nr HOME
/L.A.Times rpt
NFD",Residential,2,NA,Saucer,34.13,NA,NA,198,NA,NA,118.38,"Map, Ground, Coast, Civilian",134,179,6,6,News,No occupant
1950,4,8,NA,"SAN FRANCISCO,CA",California,USA,North America,2 SCRS BUZZ HOUSE,"STOP
GO+AROUND LIKE A GAME OF TAG
1 OBS",Metropolis,2,Technical,Saucer,37.77,NA,NA,19,NA,NA,122.47,"Map, Ground, Coast, Civilian",134,213,8,6,"News, Oddity",No occupant
1950,4,25,19,"ROCKY HILL,CT",Connecticut,USA,North America,2 OBS,"SCR/LO ALT
ERRATIC FLITE
LIT WINDOWS/EDGE
Hartford Times",Town & city,3,NA,Saucer,41.67,NA,NA,40,"Military investigation, Blue Book",NA,72.64,"Map, Ground, Civilian",134,235,6,7,News,No occupant
1947,6,NA,~10:00,"SODRA HAMMARBY,SWD",Sweden,Scandanavian and Finland,Western Europe,PLAIN TUBE-CYL > N,"FAST 90�TURN+INSTANT ACCEL >>E
/r171p131",Metropolis,1,NA,Cigar,59.3,NA,NA,NA,NA,NA,-18.13,"Map, Ground, Civilian",131,231,6,6,NA,No occupant
1965,11,9,9,"E/CICERO SWAMP,NY",New York,USA,North America,2/LITE PLANE,HUGE BALL/FIRE WHERE HIV LINES CROSS RIVER,In-flight,1,"Electro-Magnetic Effect, Technical",Fireball,43.14,NA,NA,120,NA,NA,76.08,"Map, Airborne, Civilian",160,271,5,7,Wave,No occupant
1994,4,26,13,"SANTA ROSA SOUND,FL",Florida,USA,North America,ED WALTERS FOTO,"WATER FUNNEL UP TO SCR
ODD LACK of BOATS",Offshore,3,"Photos, Technical",Saucer,30.38,Sampling,NA,0,NA,NA,87.17,"Map, Ground, Coast, Civilian",160,319,7,7,NA,No occupant
1981,2,NA,2,"BEACH E/PECEM,BRZ",CEA,Brazil,South America,GLO-OBJ CHASES MAN 3hrs,"COLD BEAMS/HIDING PLACES
skin burnt",Coastlands,180,Injuries,"Saucer, Probe",-3.42,"Observation, Ray",Human affected,1,NA,2,38.97,"Map, Ground, Coast, Civilian",105,69,8,6,NA,No occupant
1989,7,18,23,"DUTTON,AL",Alabama,USA,North America,2 OBS,"WHT OVOID PASSES
POSSIBLE CLOAKED FIGURE/BEDROOM THAT NITE",Residential,2,NA,"Saucer, Cigar",34.63,NA,NA,415,NA,NA,85.91,"Map, Ground, Civilian",160,260,10,7,"Contactee, Oddity",Figure
1968,9,24,21,"CEDEIRA,SP",LAC,Spain,Western Europe,2 V-TALL PSH APPROACH WOMAN/ROAD,"BRITE GLOW
7'BURNT AREA
/r180p59",Road + rails,5,Traces,Nightlights,43.66,NA,"Dirt, Plants affected or sampled, Apparent Landing",NA,NA,NA,08/01/2017,"Map, Ground, Coast, Civilian",50,18,8,6,Oddity,Pseudo-Human
1954,9,21,NA,"DURBAN,S.AFRICA",NTL,Rep of South Africa,Southern Africa,2 WEATHERMEN/THEODOLITE,DELTA-OBJ MUCH LARGER/BALLOON MNVRS,Coastlands,3,NA,Delta,-29.77,NA,NA,NA,NA,NA,-30.96,"Map, Ground, Coast, Civilian, High quality observer(s)",138,334,6,7,"Scientist, News",No occupant
1978,12,26,1,"VILA REAL de Sto ANTONIO,PORTUGAL",Algarve,Portugal,Western Europe,FIGURE-8 OBJ MNVRS ODDLY,FOLOS AMBULANCE,Coastlands,3,Technical,"Saucer, Cigar, Probe",37.23,NA,NA,NA,NA,NA,7.47,"Map, Ground, Coast, Civilian, High quality observer(s)",190,238,8,8,"News, Oddity",No occupant
1973,8,24,20,"TOYAMA,JP",HNS,Japan,Asia Pacific,300+OBS,"12 WHT OVOIDS CIRCLE+MNVR/3hrs
SHOOT AWAY/SL
/r156#17p5",Coastlands,180,Photos,"Saucer, Nightlights",36.68,NA,NA,NA,NA,NA,-137.23,"Map, Ground, Coast, Civilian, High quality observer(s)",186,19,6,12,News,No occupant
1979,5,26,NA,"nr KULIM,KADAH,MALAYSIA",KDH,Malaysia,Asia Pacific,2+3 OBS,"SCR/3 LEGS 50cm OVR GND
TEMP.BLINDING BEAMS",Farmlands,2,Injuries,Saucer,5.34,Ray,Human affected,NA,Camouflage,NA,-100.63,"Map, Ground, Civilian, High quality observer(s)",160,141,7,8,NA,No occupant
1949,4,15,22,"PESSAC,FR",GRN,France,Western Europe,GIRL/18,"SLNT OVOID CROSSES SKY
NFD
same again decades later here",Residential,1,NA,Cigar,44.81,NA,NA,NA,NA,NA,0.64,"Map, Ground, Civilian",194,289,6,6,NA,No occupant
1967,10,17,22,"ROOSEVELT,UT",Utah,USA,North America,LRG ORANGE BALL HOVERS OVR CORRAL,"JOINED BY 2ND
BOTH GO >E.",Town & city,6,NA,Saucer,40.31,Observation,Building or ANY MANMADE STRUCTURE,1580,NA,NA,110,"Map, Ground, Civilian",42,251,6,8,NA,No occupant
1995,5,~15,NA,"BALLYMENA,N.IREL",Northern Ireland,Great Britain and Ireland,Western Europe,3 OBS,"SLNT 40'OBJ SPINS+HVRS/YARD
LITES ON ARMS
AWAY FAST",Residential,2,Technical,Saucer,54.87,NA,NA,74,NA,NA,6.28,"Map, Ground, Civilian, High quality observer(s)",96,43,6,8,"News, Wave",No occupant
1988,1,12,NA,"DONCASTER,S.YORKS",England,Great Britain and Ireland,Western Europe,SKETCH/CLASSIC SCR W/TALL BULLET DOME/TOP W/SEARCHLITES,NA,Farmlands,1,Technical,Saucer,53.53,Ray,NA,28,NA,NA,01/11/2017,"Map, Ground, Civilian",122,24,6,6,NA,No occupant
1976,1,9,19,"St-JUST-de-CLAIX,FR",ISR,France,Western Europe,FBL+10M CONE,"3 2.5M CONE-FIGS
TELESCOPIC ARM
>>S
see dwgs",Farmlands,5,NA,"Cigar, Fireball",45.08,NA,Apparent Landing,NA,NA,NA,-5.29,"Map, Ground, Civilian",30,595,10,6,NA,"Robot, Monster, Figure"
1946,8,9,NA,"GAVLE,SWEDEN",Sweden,Scandanavian and Finland,Western Europe,YELLOW FBL >>E,"SAME SEEN/N.SWEDEN >>E
also Stockholm dir.unk",Coastlands,1,NA,Fireball,60.67,NA,NA,NA,NA,NA,-17.13,"Map, Ground, Coast, Civilian, High quality observer(s)",195,183,4,7,Wave,No occupant
1958,1,~22,NA,"WIMBERLEY,TX",Texas,USA,North America,6+OBS,"2 LUMn OBJS SKIP ABOUT+PLAY TAG/SKY
/San Marcos Record 23Jn",Town & city,15,NA,Nightlights,29.99,NA,NA,320,NA,NA,98.1,"Map, Ground, Civilian, High quality observer(s)",142,139,5,8,News,NA
1952,7,21,NA,"SW/READING,KS",Kansas,USA,North America,2/FARM,"NOISE
MTL DISK/3km alt
WOBBLES
150kph",Farmlands,1,NA,Saucer,38.49,NA,NA,331,Sound,3000,95.97,"Map, Ground, Civilian",136,904,6,7,News,No occupant
1965,7,31,1,"WYNNEWOOD,OK",Oklahoma,USA,North America,COPS+TINKER+CARSWELL Rdrs,"OBJ FLASHES CLRS/45min
>>S
/r41p242",Road + rails,45,Radar,Nightlights,34.64,NA,NA,373,"Military investigation, Other government agencies",NA,97.17,"Map, Ground, Civilian, High quality observer(s)",210,793,5,10,"News, Wave",No occupant
1950,10,19,11,"S/ALTOONA,PA",Pennsylvania,USA,North America,2 OBS,"LRG SLNT SLVR OVOID in 6 10M TURNS ovr ORCHARD/150M alt
>N",Farmlands,2,NA,Saucer,40.46,Observation,Plants affected or sampled,357,NA,150,78.42,"Map, Ground, Civilian",134,644,6,7,NA,NA
1946,7,NA,14,"JYDERUP><KALUNDBORG,DK",DMK,Scandanavian and Finland,Western Europe,SVRL OBS,"2 SILENT SLVR SCRS TILT+WOBBLE
FLY ",Farmlands,5,NA,Saucer,55.64,NA,NA,NA,NA,NA,-11.23,"Map, Ground, Coast, Civilian, High quality observer(s)",130,16,7,9,"News, Wave",No occupant
1981,7,22,14,"RED DEER,ALTA",Alberta,Canada,North America,1/CAR,"CIRC.MTL OBJ HVRS
PIPES PROTRUDE
DISK SPINS CCW on top",Road + rails,1,Technical,Saucer,52.27,NA,NA,892,NA,NA,113.8,"Map, Ground, Civilian",210,363,6,6,NA,No occupant
1977,12,8,20,"OXNARD,CA",California,USA,North America,2 ATCs,"4 UID BLIPS nr LAGUNA PEAK
MOVE 5mi/1 RDR SWEEP
/r41p135",Town & city,180,Radar,Saucer,34.2,NA,NA,16,NA,NA,119.18,"Map, Ground, Coast, Civilian, High quality observer(s)",160,181,7,8,Wave,No occupant
